# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-12T11:10:15   112872  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.0  288.581742  11.176481   92.0  42.3  239.76 0
2024-03-12T11:10:48   112873  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     140.5  288.581742  11.176481   92.4  43.3  239.76 0
2024-03-12T11:59:43   112895  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.0  288.581742  11.176481   97.5  54.7  239.76 0
2024-03-12T12:00:26   112896  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     136.4  288.581742  11.176481   97.6  55.0  239.76 0
2024-03-12T12:10:30   112897  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.9  288.581742  11.176481   98.9  57.3  239.76 0
2024-03-12T12:11:05   112898  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     143.7  288.581742  11.176481   99.0  57.5  239.76 0
2024-03-17T10:54:25   113361  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.0  288.581742  11.176481   92.4  43.3  239.76 0
2024-03-17T10:55:01   113362  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     140.7  288.581742  11.176481   92.7  44.2  239.76 0
2024-03-17T11:01:48   113363  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.2  288.581742  11.176481   93.4  45.8  239.76 0
2024-03-17T11:02:23   113364  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     137.8  288.581742  11.176481   93.4  45.9  239.76 0
2024-03-17T11:13:21   113365  SEQ        Calibration  Cal         OH45.5+0.1                2024-S1-US-20                   86.2434    34       5.0  288.581742  11.176481   94.5  48.5  239.76 0
2024-03-17T11:13:58   113366  SEQ        Pointing     Map(Az/D)   OH45.5+0.1                2024-S1-US-20                   86.2434    34     138.9  288.581742  11.176481   94.6  48.7  239.76 0
2024-03-17T11:26:02   113367  SEQ        Calibration  Cal         G45.47_01_of_04           2024-S1-US-20                  115.2710    62       5.0  288.607250  11.157194   95.9  51.4  0 0
2024-03-17T11:30:25   113369  SEQ        Calibration  Cal         G45.47_02_of_04           2024-S1-US-20                  115.2710    62       5.0  288.607250  11.157194   96.4  52.5  0 0
2024-03-18T11:11:02   113509  SEQ        Calibration  Cal         GL2374                    2024-S1-US-20                   86.2434   -71       5.4  290.402674   9.465705   96.1  46.2  239.76 0
2024-03-18T11:11:37   113510  SEQ        Pointing     Map(Az/D)   GL2374                    2024-S1-US-20                   86.2434   -71     139.6  290.402674   9.465705   96.4  46.8  239.76 0
2024-03-18T11:17:24   113511  SEQ        Calibration  Cal         G45.47_01_of_04           2024-S1-US-20                  115.2710    62       5.1    0.000000   0.000000   95.2  50.1  0 0
2024-03-18T11:17:59   113512  SEQ        Science      Map(L/C)    G45.47_01_of_04           2024-S1-US-20                  115.2710    62    1738.2    0.000000   0.000000   95.4  50.5  0 0
2024-03-18T11:59:27   113513  SEQ        Science      Map(B/C)    G45.47_01_of_04           2024-S1-US-20                  115.2710    62    1733.3    0.000000   0.000000  100.8  60.2  0 0
2024-04-17T11:22:48   117048  SEQ        Calibration  Cal         GL2374                    2024-S1-US-20                   86.2434   -71       6.8  290.402674   9.465705  128.8  75.4  239.76 0
2024-04-17T11:23:29   117049  SEQ        Pointing     Map(Az/D)   GL2374                    2024-S1-US-20                   86.2434   -71     145.9  290.402674   9.465705  130.0  75.7  239.76 0
2024-04-17T11:28:42   117050  SEQ        Calibration  Cal         GL2374                    2024-S1-US-20                   86.2434   -71       5.0  290.402674   9.465705  133.6  76.6  239.76 0
2024-04-17T11:29:20   117051  SEQ        Pointing     Map(Az/D)   GL2374                    2024-S1-US-20                   86.2434   -71     147.0  290.402674   9.465705  134.3  76.7  239.76 0
2024-04-20T10:45:34   117350  SEQ        Calibration  Cal         GL2374                    2024-S1-US-20                   86.2434   -71       5.2  290.402674   9.465705  116.2  70.3  239.76 0
